="Estimaciones"

="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Model 1",="Model 2",="Model 3",="Model 4",="Model 5"

="Edad (años)",="0.004***",="0.087***",="0.004***",="0.010***",="-0.012***"
="",="(0.000)",="(0.002)",="(0.000)",="(0.000)",="(0.003)"

="edad_sq",="",="-0.001***",="",="",=""
="",="",="(0.000)",="",="",=""

="Hombre",="",="",="0.000",="",=""
="",="",="",="(.)",="",=""

="Mujer",="",="",="-0.450***",="",=""
="",="",="",="(0.010)",="",=""

="Sin Nivel/Inicial",="",="",="",="0.000",="0.000"
="",="",="",="",="(.)",="(.)"

="Primaria",="",="",="",="0.461***",="-0.120"
="",="",="",="",="(0.033)",="(0.185)"

="Secundaria",="",="",="",="0.848***",="-0.278"
="",="",="",="",="(0.033)",="(0.182)"

="Superior no universitaria",="",="",="",="1.231***",="-0.106"
="",="",="",="",="(0.034)",="(0.185)"

="Superior universitaria",="",="",="",="1.515***",="-0.170"
="",="",="",="",="(0.034)",="(0.184)"

="Maestria/Doctorado",="",="",="",="2.334***",="1.230***"
="",="",="",="",="(0.045)",="(0.233)"

="Sin Nivel/Inicial # Edad (años)",="",="",="",="",="0.000"
="",="",="",="",="",="(.)"

="Primaria # Edad (años)",="",="",="",="",="0.010***"
="",="",="",="",="",="(0.004)"

="Secundaria # Edad (años)",="",="",="",="",="0.021***"
="",="",="",="",="",="(0.003)"

="Superior no universitaria # Edad (años)",="",="",="",="",="0.027***"
="",="",="",="",="",="(0.004)"

="Superior universitaria # Edad (años)",="",="",="",="",="0.036***"
="",="",="",="",="",="(0.004)"

="Maestria/Doctorado # Edad (años)",="",="",="",="",="0.021***"
="",="",="",="",="",="(0.005)"

="Constant",="6.555***",="5.047***",="6.740***",="5.364***",="6.515***"
="",="(0.016)",="(0.045)",="(0.016)",="(0.037)",="(0.181)"

="Observations",="45164",="45164",="45164",="45158",="45158"
="R2",="",="",="",="",=""
="AIC",="",="",="",="",=""
="BIC",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
