
="",="(1)",="(2)",="(3)",="(4)"
="",="Pooling OLS",="Between",="Within",="Random"

="jefe",="0.177***",="0.244***",="0.124*",="0.207***"
="",="(0.025)",="(0.044)",="(0.063)",="(0.035)"

="edad",="-0.001",="-0.004**",="0.048***",="0.002*"
="",="(0.001)",="(0.002)",="(0.005)",="(0.001)"

="mujer",="-0.431***",="-0.446***",="0.000",="-0.466***"
="",="(0.023)",="(0.038)",="(.)",="(0.035)"

="Casada/Conviviente",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="Viuda",="0.007",="-0.010",="0.150",="0.015"
="",="(0.054)",="(0.097)",="(0.111)",="(0.072)"

="Divorciada/Separada",="0.027",="0.084",="0.056",="0.032"
="",="(0.033)",="(0.062)",="(0.063)",="(0.041)"

="Soltera",="-0.222***",="-0.212***",="-0.020",="-0.157***"
="",="(0.028)",="(0.048)",="(0.084)",="(0.040)"

="indigenous",="0.029",="0.066",="-0.003",="0.022"
="",="(0.027)",="(0.062)",="(0.027)",="(0.024)"

="Sin Nivel/Inicial",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="Primaria",="0.252***",="0.262***",="0.062",="0.193***"
="",="(0.052)",="(0.091)",="(0.089)",="(0.064)"

="Secundaria",="0.504***",="0.503***",="0.196*",="0.466***"
="",="(0.053)",="(0.092)",="(0.102)",="(0.067)"

="Superior no universitaria",="0.758***",="0.682***",="0.313***",="0.711***"
="",="(0.057)",="(0.102)",="(0.113)",="(0.073)"

="Superior universitaria",="0.839***",="0.687***",="0.307**",="0.778***"
="",="(0.058)",="(0.102)",="(0.120)",="(0.075)"

="Maestria/Doctorado",="1.358***",="1.559***",="0.358**",="1.065***"
="",="(0.084)",="(0.179)",="(0.142)",="(0.099)"

="informal",="-0.831***",="-1.046***",="-0.432***",="-0.673***"
="",="(0.023)",="(0.047)",="(0.033)",="(0.026)"

="per",="0.002*",="0.003*",="-0.001",="0.001"
="",="(0.001)",="(0.002)",="(0.001)",="(0.001)"

="Costa",="-0.137***",="-0.140***",="0.000",="-0.156***"
="",="(0.031)",="(0.051)",="(.)",="(0.050)"

="Sierra",="-0.302***",="-0.284***",="0.000",="-0.318***"
="",="(0.033)",="(0.054)",="(.)",="(0.053)"

="Selva",="-0.223***",="-0.199***",="0.000",="-0.219***"
="",="(0.034)",="(0.057)",="(.)",="(0.056)"

="Lima Metropolitana",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="rural",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"

="urbana",="0.289***",="0.256***",="0.000",="0.325***"
="",="(0.022)",="(0.037)",="(.)",="(0.035)"

="Constant",="6.873***",="7.051***",="4.618***",="6.599***"
="",="(0.083)",="(0.147)",="(0.239)",="(0.113)"

="N",="9969",="9969",="9969",="9969"
="ll",="-12727.244",="-3335.525",="-8130.846",=""
="r2",="0.379",="0.449",="0.043",=""
="r2_w",="",="0.027",="0.043",="0.030"
="r2_o",="",="0.373",="0.061",="0.374"
="r2_b",="",="0.449",="0.057",="0.432"
="sigma",="",="",="1.282",="0.930"
="sigma_u",="",="",="1.106",="0.666"
="sigma_e",="",="",="0.649",="0.649"
="rho",="",="",="0.744",="0.513"
="theta",="",="",="",=""
="aic0",="25492.488",="",="",=""
="bic0",="25629.425",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
