
="",="(1)",="(2)",="(3)",="(4)"
="",="Pooling OLS",="Region-fixed effects",="Time-fixed effecs",="Two-way fixed effects"

="lagy",="-0.036***",="-0.431***",="-0.036***",="-0.468***"
="",="(0.009)",="(0.032)",="(0.008)",="(0.028)"

="ln_sk",="0.007*",="0.204***",="0.011***",="0.250***"
="",="(0.004)",="(0.017)",="(0.004)",="(0.014)"

="lntpet",="-0.103***",="-0.136***",="-0.092***",="-0.032"
="",="(0.026)",="(0.028)",="(0.028)",="(0.028)"

="ln_sch",="0.027",="0.253***",="0.089***",="0.304***"
="",="(0.034)",="(0.047)",="(0.033)",="(0.042)"

="id=1",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)"

="id=2",="",="-0.088***",="",="-0.175***"
="",="",="(0.029)",="",="(0.028)"

="id=3",="",="-0.006",="",="-0.021"
="",="",="(0.022)",="",="(0.018)"

="id=4",="",="0.017",="",="-0.054**"
="",="",="(0.026)",="",="(0.027)"

="id=5",="",="0.013",="",="-0.010"
="",="",="(0.022)",="",="(0.018)"

="id=6",="",="-0.204***",="",="-0.266***"
="",="",="(0.027)",="",="(0.022)"

="id=7",="",="-0.104***",="",="-0.179***"
="",="",="(0.027)",="",="(0.025)"

="id=8",="",="0.060***",="",="0.051***"
="",="",="(0.022)",="",="(0.018)"

="id=9",="",="-0.037*",="",="-0.054***"
="",="",="(0.021)",="",="(0.017)"

="id=10",="",="0.122***",="",="0.079***"
="",="",="(0.025)",="",="(0.025)"

="id=11",="",="-0.094***",="",="-0.143***"
="",="",="(0.024)",="",="(0.021)"

="id=12",="",="-0.075***",="",="-0.141***"
="",="",="(0.025)",="",="(0.022)"

="id=13",="",="-0.147***",="",="-0.205***"
="",="",="(0.025)",="",="(0.021)"

="id=14",="",="-0.434***",="",="-0.618***"
="",="",="(0.052)",="",="(0.046)"

="id=15",="",="-0.045*",="",="-0.091***"
="",="",="(0.024)",="",="(0.020)"

="id=16",="",="0.394***",="",="0.382***"
="",="",="(0.039)",="",="(0.034)"

="id=17",="",="0.546***",="",="0.532***"
="",="",="(0.047)",="",="(0.048)"

="id=18",="",="0.173***",="",="0.131***"
="",="",="(0.028)",="",="(0.028)"

="id=19",="",="-0.115***",="",="-0.177***"
="",="",="(0.025)",="",="(0.021)"

="id=20",="",="-0.180***",="",="-0.235***"
="",="",="(0.027)",="",="(0.022)"

="id=21",="",="-0.084***",="",="-0.121***"
="",="",="(0.023)",="",="(0.018)"

="id=22",="",="0.215***",="",="0.176***"
="",="",="(0.029)",="",="(0.029)"

="id=23",="",="0.335***",="",="0.356***"
="",="",="(0.034)",="",="(0.028)"

="id=24",="",="0.133***",="",="0.127***"
="",="",="(0.024)",="",="(0.019)"

="año=2001",="",="",="0.000",="0.000"
="",="",="",="(.)",="(.)"

="año=2002",="",="",="0.057***",="0.053***"
="",="",="",="(0.021)",="(0.017)"

="año=2003",="",="",="0.041*",="0.052***"
="",="",="",="(0.021)",="(0.017)"

="año=2004",="",="",="0.049**",="0.057***"
="",="",="",="(0.021)",="(0.017)"

="año=2005",="",="",="0.062***",="0.075***"
="",="",="",="(0.022)",="(0.018)"

="año=2006",="",="",="0.056**",="0.081***"
="",="",="",="(0.022)",="(0.018)"

="año=2007",="",="",="0.061***",="0.099***"
="",="",="",="(0.022)",="(0.019)"

="año=2008",="",="",="0.071***",="0.123***"
="",="",="",="(0.022)",="(0.019)"

="año=2009",="",="",="0.019",="0.077***"
="",="",="",="(0.022)",="(0.020)"

="año=2010",="",="",="0.051**",="0.094***"
="",="",="",="(0.023)",="(0.020)"

="año=2011",="",="",="0.035",="0.087***"
="",="",="",="(0.023)",="(0.020)"

="año=2012",="",="",="0.053**",="0.106***"
="",="",="",="(0.023)",="(0.020)"

="año=2013",="",="",="0.049**",="0.100***"
="",="",="",="(0.023)",="(0.021)"

="año=2014",="",="",="0.008",="0.063***"
="",="",="",="(0.023)",="(0.022)"

="año=2015",="",="",="0.031",="0.071***"
="",="",="",="(0.023)",="(0.022)"

="año=2016",="",="",="0.041*",="0.076***"
="",="",="",="(0.023)",="(0.022)"

="año=2017",="",="",="0.017",="0.057**"
="",="",="",="(0.023)",="(0.023)"

="año=2018",="",="",="0.011",="0.048**"
="",="",="",="(0.023)",="(0.023)"

="año=2019",="",="",="-0.002",="0.030"
="",="",="",="(0.024)",="(0.024)"

="año=2020",="",="",="-0.123***",="-0.087***"
="",="",="",="(0.023)",="(0.023)"

="Constant",="-0.109",="0.511***",="-0.415***",="0.434**"
="",="(0.124)",="(0.135)",="(0.140)",="(0.216)"

="N",="480",="480",="480",="480"
="ll",="551.955",="635.628",="627.108",="763.312"
="r2",="0.081",="0.352",="0.328",="0.619"
="aic0",="-1093.911",="",="-1206.216",="-1432.625"
="bic0",="-1073.042",="",="-1106.045",="-1236.457"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
